"U.M.","Nombre","Desc. item","MARCA","Referencia","Nombre archivo","Precio unitario","Existencia","Columna 1","Desc. detalle ext. 1","Extensión final"
"UND ","VINILO RAPID","VINILO RAPID 60cc/85gr  x 120uds","RAPID Y CIA LTDA","3349","3349.png","$774","36","1","VERD LIMO","Verde Limón"
"UND ","VINILO RAPID","VINILO RAPID 60cc/85gr  x 120uds","RAPID Y CIA LTDA","3349","3349.png","$774","36","29","VD MANZAN","Verde Manzana"
"UND ","VINILO RAPID","VINILO RAPID 60cc/85gr  x 120uds","RAPID Y CIA LTDA","3349","3349.png","$774","36","18","MAGENTA ","Magenta"
"UND ","TIJERA FABER CAST ZURDOS ESCOLAR","TIJERA FABER CAST ZURDOS ESCOLAR x24uds","TECNACRIL FABER CASTELL","3350","3350.png","$3.327","91","5","GN ","Genérico"
"UND ","COMPÁS ESCOLAR LÁPIZ EN BOLSA","COMPÁS ESCOLAR LÁPIZ EN BOLSA /864uds","INVERSIONES EXITO","3353","3353.png","$432","0","2","GN ","Genérico"
"UND ","BOLSA CELOFAN DECORADA","BOLSA CELOFAN 12.5x20cms DECORADA","BODEGAS ILUSION","3354","3354.png","$92","88","81","GN ","Genérico"
"UND ","BOLSA 1/4pliego S NAVIDAD PLAST","BOLSA 1/4pliego S NAVIDAD PLAST 120grms","PAPELES PRIMAVERA","3355","3355.png","$831","60","1","GN ","Genérico"
"UND ","PORTAFOLIO FUELLE PLÁSTICO SCRIBE","PORTAF FUELLE PLÁSTICO SCRIBE X20und","COLOMBIANA KIMBERLY","3364","3364.png","$6.384","96","17","IN COLLOR","In color"
"UND ","PORTAFOLIO FUELLE PLÁSTICO SCRIBE","PORTAF FUELLE PLÁSTICO SCRIBE X20und","COLOMBIANA KIMBERLY","3364","3364.png","$6.384","96","27","ONE PIECE","One Piece"
"UND ","PORTAFOLIO FUELLE PLÁSTICO SCRIBE","PORTAF FUELLE PLÁSTICO SCRIBE X20und","COLOMBIANA KIMBERLY","3364","3364.png","$6.384","96","1","HLLT MSK ","Huellitas"
"UND ","PORTAFOLIO FUELLE PLÁSTICO SCRIBE","PORTAF FUELLE PLÁSTICO SCRIBE X20und","COLOMBIANA KIMBERLY","3364","3364.png","$6.384","96","24","LIGA JUST","Liga De La Justicia"
"UND ","MARCADOR SECO PELIKAN 426","MARCADOR SECO PELIKAN 426 x10 x40","PELIKAN DE INDISTRI","3368","3368.png","$1.404","0","53","NEGRO ","Negro"
"UND ","MARCADOR SECO PELIKAN 426","MARCADOR SECO PELIKAN 426 x10 x40","PELIKAN DE INDISTRI","3368","3368.png","$1.404","0","521","NEGRO ","Negro"
"UND ","MARCADOR SECO PELIKAN 426","MARCADOR SECO PELIKAN 426 x10 x40","PELIKAN DE INDISTRI","3368","3368.png","$1.404","0","8","NARANJA ","Naranja"
